"X","sample_pair","group","beta_div_method","beta_div_value","time"
478,"269-300","Time 1","bray",0.752442996742671,1
479,"269-318","Time 1","bray",0.696078431372549,1
480,"269-323","Time 1","bray",0.706730769230769,1
481,"269-343","Time 1","bray",0.675425038639876,1
482,"269-358","Time 1","bray",0.725910064239829,1
483,"269-359","Time 1","bray",0.741379310344828,1
484,"269-46","Time 1","bray",0.756487025948104,1
485,"269-5","Time 1","bray",0.648351648351648,1
486,"269-96","Time 1","bray",0.699680511182109,1
487,"279-291","Time 1","bray",0.851428571428571,1
488,"279-295","Time 1","bray",0.905660377358491,1
489,"279-300","Time 1","bray",0.720465890183028,1
490,"279-318","Time 1","bray",0.679465776293823,1
491,"279-323","Time 1","bray",0.692307692307692,1
492,"279-343","Time 1","bray",0.662460567823344,1
493,"279-358","Time 1","bray",0.651982378854626,1
494,"279-359","Time 1","bray",0.716186252771619,1
495,"279-46","Time 1","bray",0.733606557377049,1
496,"279-5","Time 1","bray",0.638009049773756,1
497,"279-96","Time 1","bray",0.641109298531811,1
498,"291-295","Time 1","bray",0.818181818181818,1
499,"291-300","Time 1","bray",0.879656160458453,1
500,"291-318","Time 1","bray",0.855907780979827,1
501,"291-323","Time 1","bray",0.841059602649007,1
502,"291-343","Time 1","bray",0.848167539267016,1
503,"291-358","Time 1","bray",0.801980198019802,1
504,"291-359","Time 1","bray",0.78894472361809,1
505,"291-46","Time 1","bray",0.805084745762712,1
506,"291-5","Time 1","bray",0.842105263157895,1
507,"291-96","Time 1","bray",0.867036011080332,1
508,"295-300","Time 1","bray",0.899053627760252,1
509,"295-318","Time 1","bray",0.917460317460317,1
510,"295-323","Time 1","bray",0.831932773109244,1
511,"295-343","Time 1","bray",0.914285714285714,1
512,"295-358","Time 1","bray",0.858823529411765,1
513,"295-359","Time 1","bray",0.868263473053892,1
514,"295-46","Time 1","bray",0.892156862745098,1
515,"295-5","Time 1","bray",0.873417721518987,1
516,"295-96","Time 1","bray",0.908814589665654,1
517,"300-318","Time 1","bray",0.762541806020067,1
518,"300-323","Time 1","bray",0.796019900497512,1
519,"300-343","Time 1","bray",0.725118483412322,1
520,"300-358","Time 1","bray",0.735099337748344,1
521,"300-359","Time 1","bray",0.773333333333333,1
522,"300-46","Time 1","bray",0.811088295687885,1
523,"300-5","Time 1","bray",0.786848072562358,1
